Customer_ID	Age	Gender	Location	Num_Interactions	Feedback_Score	Products_Purchased	Products_Viewed	Time_Spent_on_Site	Satisfaction_Score	Retention_Status	Gender_Encoded	Location_Encoded	Retention_Status_Encoded
1	56	Male	Urban	11	4	18	38	18.31960577	7	Retained	1	2	1
2	69	Male	Suburban	10	3	2	17	9.015197609	6	Retained	1	1	1
3	46	Male	Urban	5	5	11	46	45.92157192	10	Churned	1	2	0
4	32	Female	Suburban	5	1	6	13	44.10505291	5	Churned	0	1	0
5	60	Male	Urban	14	5	8	46	17.89747127	1	Retained	1	2	1
6	25	Male	Rural	6	2	4	35	46.21584592	3	Retained	1	0	1
7	38	Male	Suburban	8	4	18	11	55.48124857	9	Churned	1	1	0
8	56	Female	Rural	10	4	11	8	10.94159266	1	Retained	0	0	1
9	36	Female	Suburban	6	2	5	23	17.79501511	5	Churned	0	1	0
10	40	Male	Rural	12	3	15	46	46.26434367	2	Retained	1	0	1
11	28	Male	Urban	1	3	18	34	20.09786704	4	Retained	1	2	1
12	28	Male	Urban	8	4	2	35	39.35651859	1	Retained	1	2	1
13	41	Male	Urban	8	4	11	39	9.464032346	3	Churned	1	2	0
14	53	Female	Suburban	9	1	13	25	29.87113635	10	Retained	0	1	1
15	57	Female	Rural	9	3	4	35	45.65002821	7	Retained	0	0	1
